Area Name,Type,City,Zip Codes,Market Segment,Price Range,Distance from Austin,School District,Keywords,Description
Allandale,Neighborhood,Austin,78756,Mid-Century Modern,$500K-$900K,Central,Austin ISD,"mid-century, mature trees, central austin","Established neighborhood with mid-century homes and mature trees"
Barton Hills,Neighborhood,Austin,78704,Hill Country Views,$600K-$1.5M,Central,Austin ISD,"zilker nearby, hill country, greenbelt","Elevated area with hill country views near Zilker Park"
Bouldin Creek,Neighborhood,Austin,78704,Hip/Artsy,$400K-$800K,Central,Austin ISD,"south first, food trucks, walkable","Hip neighborhood south of downtown with food truck scene"
Clarksville,Neighborhood,Austin,78703,Historic Central,$600K-$2M,Central,Austin ISD,"historic, downtown adjacent, cottage style","Historic neighborhood with cottage-style homes near downtown"
Crestview,Neighborhood,Austin,78757,Emerging/Hip,$400K-$700K,Central,Austin ISD,"food scene, young professionals, walkable","Emerging neighborhood with great food scene"
East 6th Street,Neighborhood,Austin,78702,Entertainment District,$350K-$650K,Central,Austin ISD,"nightlife, restaurants, condos","Entertainment district east of downtown"
French Place,Neighborhood,Austin,78722,East Austin Historic,$450K-$800K,Central,Austin ISD,"historic, east austin, bungalows","Historic East Austin neighborhood with bungalow-style homes"
Govalle,Neighborhood,Austin,78702,Up-and-Coming,$300K-$600K,Central,Austin ISD,"affordable, emerging, east austin","Up-and-coming East Austin area"
Holly,Neighborhood,Austin,78702,Transitional,$350K-$650K,Central,Austin ISD,"east austin, gentrifying, close to downtown","Transitional East Austin neighborhood close to downtown"
Hyde Park,Neighborhood,Austin,78705,Historic Walkable,$500K-$1M,Central,Austin ISD,"historic, UT nearby, walkable, durand park","Historic walkable neighborhood near UT campus"
Kenwood,Neighborhood,Austin,78704,Family Friendly,$550K-$950K,Central,Austin ISD,"south austin, family, schools","Family-friendly South Austin neighborhood"
Mueller,Neighborhood,Austin,78723,New Urbanist,$500K-$800K,Central,Austin ISD,"new development, mixed use, sustainable","New urbanist development on former airport site"
North Loop,Neighborhood,Austin,78756,Eclectic/Local,$450K-$800K,Central,Austin ISD,"local businesses, airport blvd, diverse","Eclectic neighborhood with local businesses"
Rosedale,Neighborhood,Austin,78756,Mid-Century Charm,$600K-$1.2M,Central,Austin ISD,"mid-century, mature neighborhood, central","Mature neighborhood with mid-century charm"
South Lamar,Neighborhood,Austin,78704,Trendy Corridor,$500K-$1M,Central,Austin ISD,"restaurants, shopping, condos, walkable","Trendy corridor with restaurants and shopping"
South Park Meadows,Neighborhood,Austin,78748,Shopping/Suburban,$300K-$500K,South,Austin ISD,"outlets, shopping, new homes","Suburban area near major shopping outlets"
Tarrytown,Neighborhood,Austin,78703,Upscale Central,$700K-$2M+,Central,Austin ISD,"historic, central, prestigious","Upscale central neighborhood with historic homes"
Travis Heights,Neighborhood,Austin,78704,Historic South Austin,$500K-$1.2M,Central,Austin ISD,"historic, south austin, character homes","Historic South Austin with character homes"
Westlake Hills,Neighborhood,Westlake Hills,78746,Luxury Hills,$1M-$5M+,West,Lake Travis ISD,"luxury, lake austin, westlake schools","Premium luxury area with Lake Austin access"
Zilker,Neighborhood,Austin,78704,Park Adjacent,$600K-$1.5M,Central,Austin ISD,"zilker park, acl, central, trendy","Trendy area adjacent to Zilker Park"
Cedar Park,City,Cedar Park,"78613, 78630",Family Suburban,$400K-$700K,20 miles NW,Leander ISD,"leander isd, family friendly, new homes","Fast-growing suburban city northwest of Austin"
Leander,City,Leander,"78641, 78645",Affordable Family,$350K-$600K,25 miles NW,Leander ISD,"leander isd, growing, affordable","Affordable family-oriented city in northwest metro"
Round Rock,City,Round Rock,"78664, 78665, 78681",Tech Corridor,$400K-$650K,20 miles N,Round Rock ISD,"dell, tech jobs, round rock isd","Major tech corridor city north of Austin"
Georgetown,City,Georgetown,"78626, 78628, 78633",Historic Charm,$450K-$800K,30 miles N,Georgetown ISD,"historic square, southwestern university, charm","Historic city with charming town square"
Pflugerville,City,Pflugerville,78660,Growing Suburban,$350K-$600K,15 miles NE,Pflugerville ISD,"pfluger, family, growing","Growing suburban community northeast of Austin"
Hutto,City,Hutto,78634,New Development,$300K-$500K,25 miles NE,Hutto ISD,"new homes, affordable, family","Fast-growing city with new home developments"
Lakeway,City,Lakeway,78734,Lake Community,$600K-$1.5M,20 miles W,Lake Travis ISD,"lake travis, resort living, luxury","Lake Travis resort community"
Bee Cave,City,Bee Cave,78738,Upscale Suburban,$700K-$2M,15 miles W,Lake Travis ISD,"lake travis isd, upscale, hill country","Upscale suburban city in the hill country"
Dripping Springs,City,Dripping Springs,78620,Hill Country,$500K-$1.2M,25 miles W,Dripping Springs ISD,"hill country, wineries, small town","Hill country city known for wineries"
Buda,City,Buda,78610,Small Town Charm,$400K-$700K,15 miles S,Hays CISD,"historic, small town, family","Small town charm with historic downtown"
Kyle,City,Kyle,78640,Fast Growing,$350K-$600K,20 miles S,Hays CISD,"new development, growing, hays cisd","Fast-growing city south of Austin"
San Marcos,City,San Marcos,78666,University Town,$300K-$550K,30 miles S,San Marcos ISD,"texas state, river, university","University town on the San Marcos River"
Bastrop,City,Bastrop,78602,Historic Small Town,$250K-$450K,30 miles E,Bastrop ISD,"historic, colorado river, small town","Historic small town on the Colorado River"
Elgin,City,Elgin,78621,Rural/Affordable,$250K-$400K,25 miles E,Elgin ISD,"sausage capital, rural, affordable","Rural community known as sausage capital of Texas"
Manor,City,Manor,78653,Emerging Suburban,$300K-$500K,12 miles E,Manor ISD,"emerging, manor isd, east austin","Emerging suburban community east of Austin"
